            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448273.500000000, A.D. 1991-Jan-17 00:00:00.0000, -1.123280149748988E+07,  1.202489517611741E+08,  9.167547104466721E+06,
2448274.500000000, A.D. 1991-Jan-18 00:00:00.0000, -1.129606753832782E+07,  1.224271509818990E+08,  9.220953894388095E+06,
2448275.500000000, A.D. 1991-Jan-19 00:00:00.0000, -1.137642527047833E+07,  1.246326353425623E+08,  9.273863807984032E+06,
2448276.500000000, A.D. 1991-Jan-20 00:00:00.0000, -1.147457395467208E+07,  1.268651751438758E+08,  9.326278837981105E+06,
2448277.500000000, A.D. 1991-Jan-21 00:00:00.0000, -1.159119975087160E+07,  1.291245171026130E+08,  9.378201271544553E+06,
2448278.500000000, A.D. 1991-Jan-22 00:00:00.0000, -1.172697348276542E+07,  1.314103861556954E+08,  9.429633914319701E+06,
2448279.500000000, A.D. 1991-Jan-23 00:00:00.0000, -1.188254858638539E+07,  1.337224877636655E+08,  9.480580321479037E+06,
2448280.500000000, A.D. 1991-Jan-24 00:00:00.0000, -1.205855934044480E+07,  1.360605107946734E+08,  9.531045031240962E+06,
2448281.500000000, A.D. 1991-Jan-25 00:00:00.0000, -1.225561958358601E+07,  1.384241310953512E+08,  9.581033788652368E+06,
2448282.500000000, A.D. 1991-Jan-26 00:00:00.0000, -1.247432229038364E+07,  1.408130157856587E+08,  9.630553730820417E+06,
2448283.500000000, A.D. 1991-Jan-27 00:00:00.0000, -1.271524052537347E+07,  1.432268280829776E+08,  9.679613482667685E+06,
2448284.500000000, A.D. 1991-Jan-28 00:00:00.0000, -1.297893027250317E+07,  1.456652320649445E+08,  9.728223096880421E+06,
2448285.500000000, A.D. 1991-Jan-29 00:00:00.0000, -1.326593528757837E+07,  1.481278963664697E+08,  9.776393782332882E+06,
2448286.500000000, A.D. 1991-Jan-30 00:00:00.0000, -1.357679343512521E+07,  1.506144956742201E+08,  9.824137415642180E+06,
2448287.500000000, A.D. 1991-Jan-31 00:00:00.0000, -1.391204332547036E+07,  1.531247102149045E+08,  9.871465971175343E+06,
2448288.500000000, A.D. 1991-Feb-01 00:00:00.0000, -1.427222924733376E+07,  1.556582190261943E+08,  9.918390705280580E+06,
2448289.500000000, A.D. 1991-Feb-02 00:00:00.0000, -1.465790408485527E+07,  1.582146965831461E+08,  9.964921814177476E+06,
2448290.500000000, A.D. 1991-Feb-03 00:00:00.0000, -1.506962924340036E+07,  1.607938065249417E+08,  1.001106811733340E+07,
2448291.500000000, A.D. 1991-Feb-04 00:00:00.0000, -1.550797255423928E+07,  1.633951969110947E+08,  1.005683698615854E+07,
2448292.500000000, A.D. 1991-Feb-05 00:00:00.0000, -1.597350516424846E+07,  1.660184972713580E+08,  1.010223443904597E+07,
2448293.500000000, A.D. 1991-Feb-06 00:00:00.0000, -1.646679831232617E+07,  1.686633171993380E+08,  1.014726531379312E+07,
2448294.500000000, A.D. 1991-Feb-07 00:00:00.0000, -1.698842054630996E+07,  1.713292460369387E+08,  1.019193345239764E+07,
2448295.500000000, A.D. 1991-Feb-08 00:00:00.0000, -1.753893557319252E+07,  1.740158531388976E+08,  1.023624186021122E+07,
2448296.500000000, A.D. 1991-Feb-09 00:00:00.0000, -1.811890048571229E+07,  1.767226863588741E+08,  1.028019270960313E+07,
2448297.500000000, A.D. 1991-Feb-10 00:00:00.0000, -1.872886518602175E+07,  1.794492781785999E+08,  1.032378777064325E+07,
2448298.500000000, A.D. 1991-Feb-11 00:00:00.0000, -1.936937077818567E+07,  1.821951401070463E+08,  1.036702813213641E+07,
2448299.500000000, A.D. 1991-Feb-12 00:00:00.0000, -2.004094867463177E+07,  1.849597643758545E+08,  1.040991436816052E+07,
2448300.500000000, A.D. 1991-Feb-13 00:00:00.0000, -2.074411925431109E+07,  1.877426237239910E+08,  1.045244661478505E+07,
2448301.500000000, A.D. 1991-Feb-14 00:00:00.0000, -2.147939011983759E+07,  1.905431711835400E+08,  1.049462467870902E+07,
2448302.500000000, A.D. 1991-Feb-15 00:00:00.0000, -2.224725392213431E+07,  1.933608401475607E+08,  1.053644819335067E+07,
2448303.500000000, A.D. 1991-Feb-16 00:00:00.0000, -2.304818583843521E+07,  1.961950449699167E+08,  1.057791682591562E+07,
2448304.500000000, A.D. 1991-Feb-17 00:00:00.0000, -2.388264091165312E+07,  1.990451822967627E+08,  1.061903052686042E+07,
2448305.500000000, A.D. 1991-Feb-18 00:00:00.0000, -2.475105154432072E+07,  2.019106332196185E+08,  1.065978980156010E+07,
2448306.500000000, A.D. 1991-Feb-19 00:00:00.0000, -2.565382545735058E+07,  2.047907662014422E+08,  1.070019597673243E+07,
2448307.500000000, A.D. 1991-Feb-20 00:00:00.0000, -2.659134437017381E+07,  2.076849406078011E+08,  1.074025143351004E+07,
2448308.500000000, A.D. 1991-Feb-21 00:00:00.0000, -2.756396356829179E+07,  2.105925106121613E+08,  1.077995978381550E+07,
2448309.500000000, A.D. 1991-Feb-22 00:00:00.0000, -2.857201242461888E+07,  2.135128290687853E+08,  1.081932596424723E+07,
2448310.500000000, A.D. 1991-Feb-23 00:00:00.0000, -2.961579574659509E+07,  2.164452497470800E+08,  1.085835616370326E+07,
